"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
7180,46.53617282,11.13486983,0.331576133,1.528820394,0.421845635,NA,NA,NA,NA,NA,"Ftb"
7192,46.53614805,11.29137494,0.142880968,0.049630811,0.848317106,NA,NA,NA,NA,NA,"Ki"
7209,46.53828755,11.50892357,0.948299602,0.261722999,0.792165944,NA,NA,NA,NA,NA,"Ei"
7427,46.53034889,10.74503727,5.60897142,0.462531211,0.707905128,NA,NA,NA,NA,NA," "
7470,46.53029718,11.30943353,0.437878961,0.638554769,1.030774045,0.929803216,9.429066853,13.66558093,20.72361053,18.83755508,"Ftb"
7473,46.52372443,11.35028255,3.010270871,0,0.073564273,0.368531677,7.371827107,3.884619765,42.44164899,30.49505534,"MH"
7514,46.5276744,11.8847424,0.176256205,1.005422386,0.992031872,NA,NA,NA,NA,NA,"Fs"
7704,46.52064347,10.73860919,0.481968215,0.069460201,0.928518482,NA,NA,NA,NA,NA,"Fs"
7721,46.51947958,10.96485296,0.668661079,0.891044644,0,NA,NA,NA,NA,NA,"Fs"
7724,46.51844379,10.9944529,0,0,0,0,1.16018467,11.61021143,40.94623485,19.6803877,"Zi"
7736,46.51872389,11.15290168,8.348608697,0.240423443,0,NA,NA,NA,NA,NA,"Fs"
7738,46.52018617,11.17903455,0.364336651,2.550510633,2.069882161,NA,NA,NA,NA,NA,"Ftb"
7765,46.52307158,11.53349464,4.76269486,0.370272468,0,NA,NA,NA,NA,NA,"Ftb"
8036,46.51250124,11.38315543,7.599688245,0.6076731,1.322296538,NA,NA,NA,NA,NA,"Bu"
8037,46.51308682,11.38931892,1.534931522,0,0.30150697,NA,NA,NA,NA,NA,"Bu"
8289,46.50415362,10.89376076,1.51390948,1.434069752,0,NA,NA,NA,NA,NA,"Fs"
8327,46.50444788,11.38979179,4.849630401,0.114284432,0.042408688,0.226258911,2.749178304,13.2656704,47.0883583,31.79171087,"MH"
8333,46.49777028,11.46954352,1.102958423,0.117042093,3.6263e-05,NA,NA,NA,NA,NA,"Bu"
8607,46.48973145,11.25534047,8.015445365,0.232354902,0.507165514,NA,NA,NA,NA,NA,"MH"
8621,46.49085856,11.44653546,0.206729466,0.009009888,0.049864779,NA,NA,NA,NA,NA,"MH"
8622,46.48882644,11.45696799,1.891942082,0.019884741,0.609267241,NA,NA,NA,NA,NA,"Bu"
8866,46.48544467,10.8498392,1.423342151,1.848032418,0,NA,NA,NA,NA,NA,"Fs"
8897,46.48011095,11.24529242,4.98938608,0.552923416,0,NA,NA,NA,NA,NA,"MH"
8921,46.48214211,11.55661748,0.432812268,0.037622862,0.350601429,NA,NA,NA,NA,NA,"Ki"
9173,46.47661984,11.04532315,0,0.165153551,0,NA,NA,NA,NA,NA,"FT"
9205,46.47046622,11.45321959,0,0.21849678,0,NA,NA,NA,NA,NA,"Fi"
9470,46.46872203,11.05523462,0,3.027565153,0.037291435,0.077136948,0.740205542,2.303368806,47.12966761,70.48711593,"Ftb"
9492,46.46368015,11.34103076,0.666512057,0.117485366,0.409043599,0.848171039,4.711314268,28.41467598,35.27263074,24.58226213,"MH"
9496,46.46659334,11.39605961,0,0.655433749,0.11688271,0,3.720019296,19.16955527,29.64434075,33.92955246,"Ftb"
9497,46.46518436,11.40216588,0,0.786852949,0.198110271,NA,NA,NA,NA,NA,"Bu"
9768,46.45336073,11.04085654,0,0.346318538,0.022516958,NA,NA,NA,NA,NA,"Ftb"
9806,46.45251215,11.54059562,0,6.502711818,0.668068901,NA,NA,NA,NA,NA,"FT"
