X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
153,5415,Fi,0,0.098841574,0.083460442,NA,NA,NA,NA,NA,1574,16,141,6,2,4
154,5511,FT,0,2.175157582,0.037316211,NA,NA,NA,NA,NA,1495,27,329,5,3,8
155,5528,FT,0.511102578,0.710494282,0.855334796,NA,NA,NA,NA,NA,831,29,43,3,3,2
156,5554,MH,8.094344353,0.105152728,0.084526369,0.953873733,3.0706324,3.339180757,30.65854088,21.43203277,449,29,91,2,3,3
157,5711,Zi,0,0.529617548,0,NA,NA,NA,NA,NA,2006,31,37,6,4,2
158,5715,FT,0,2.124967873,0.121735511,NA,NA,NA,NA,NA,1574,33,38,6,4,2
159,5716,Zi,0,1.659044887,1.479501695,NA,NA,NA,NA,NA,2103,32,356,6,4,1
160,5719,Zi,0,0.070692023,0.090821832,0,5.467566571,28.98425039,39.41685108,59.30652071,1896,28,15,6,3,1
161,5722,Fs,1.247799824,0.204833526,0.417698748,NA,NA,NA,NA,NA,1757,31,338,6,4,8
162,5754,Fi,0,0.741284747,0.238460236,NA,NA,NA,NA,NA,856,12,45,3,2,2
163,5773,Fi,0.235589241,0.616707909,0.368445208,NA,NA,NA,NA,NA,1420,15,233,5,2,6
164,5775,FT,0,1.35351222,0,NA,NA,NA,NA,NA,1442,12,35,5,2,2
165,5801,Fs,0,0.28924996,0.059239515,NA,NA,NA,NA,NA,1936,15,168,6,2,5
166,5963,Fs,0,0.050283017,3.006325879,NA,NA,NA,NA,NA,1952,26,166,6,3,5
167,5983,Fi,0.313884362,0.874261276,0.236276879,NA,NA,NA,NA,NA,1431,19,312,5,2,8
168,5997,Fs,0,0,0,NA,NA,NA,NA,NA,1745,17,200,6,2,5
169,6004,Fi,0,4.37638171,0,NA,NA,NA,NA,NA,1213,6,153,5,1,4
170,6151,Zi,0,0.071004098,5.539118161,NA,NA,NA,NA,NA,2223,26,254,6,3,7
171,6185,Fs,0,0.045684306,0,NA,NA,NA,NA,NA,2073,33,134,6,4,4
172,6203,Bu,2.937968622,1.431177664,0.679027199,0,5.727780365,3.778730856,17.40565912,29.14570271,925,14,242,4,2,6
173,6205,Bu,0,0.674963412,0,NA,NA,NA,NA,NA,1203,10,284,5,1,7
174,6206,Fi,0,0.372938757,0,NA,NA,NA,NA,NA,1477,7,247,5,1,6
175,6214,EK,1.536210939,0.012363618,0.368804472,NA,NA,NA,NA,NA,1018,25,268,4,3,7
176,6408,Fs,0.751589603,0.955343114,0.628469774,NA,NA,NA,NA,NA,1849,29,113,6,3,4
177,6410,Fs,16.57293549,0.280238136,0.868286148,NA,NA,NA,NA,NA,1662,22,157,6,3,4
178,6431,FT,0.043915291,0.359546159,0.974378759,NA,NA,NA,NA,NA,1385,12,244,5,2,6
179,6478,Zi,0,0,2.35E-05,NA,NA,NA,NA,NA,1995,23,301,6,3,8
180,6627,Zi,0,0.501522148,0,NA,NA,NA,NA,NA,2139,23,119,6,3,4
181,6658,Bu,9.242007115,0.770366094,9.33E-05,NA,NA,NA,NA,NA,792,33,71,3,4,3
182,6676,Ei,0.467740553,1.247456418,0.049193865,0.536916311,4.278848422,0,32.2791377,31.15096424,1162,23,205,4,3,6
183,6681,Ki,0,0.04809036,0,NA,NA,NA,NA,NA,1279,17,45,5,2,2
184,6701,Fs,0,0.065438704,0,NA,NA,NA,NA,NA,1420,24,3,5,3,1
185,6717,Fs,0,0,0,NA,NA,NA,NA,NA,1796,15,104,6,2,3
186,6903,FT,0,0.470347251,0.056274178,NA,NA,NA,NA,NA,1410,30,328,5,3,8
187,6913,Ftb,0.450106383,1.374898438,0.141853057,1.667631934,4.224036779,3.113000221,30.1638841,36.82299052,949,19,13,4,2,1
188,6974,Fs,0.958134142,2.176941894,0.929099965,NA,NA,NA,NA,NA,1816,20,343,6,2,1
189,7152,Fs,0,0.521769451,0.023653443,NA,NA,NA,NA,NA,1517,16,348,6,2,1
190,7180,Ftb,0.331576133,1.528820394,0.421845635,NA,NA,NA,NA,NA,1198,23,3,4,3,1
191,7192,Ki,0.142880968,0.049630811,0.848317106,NA,NA,NA,NA,NA,1031,15,234,4,2,6
192,7209,Ei,0.948299602,0.261722999,0.792165944,NA,NA,NA,NA,NA,757,32,305,3,4,8
193,7427,Fs,5.60897142,0.462531211,0.707905128,NA,NA,NA,NA,NA,1587,12,337,6,2,8
194,7470,Ftb,0.437878961,0.638554769,1.030774045,0.929803216,9.429066853,13.66558093,20.72361053,18.83755508,1120,24,25,4,3,2
195,7473,MH,3.010270871,0,0.073564273,0.368531677,7.371827107,3.884619765,42.44164899,30.49505534,693,27,155,3,3,4
196,7514,Fs,0.176256205,1.005422386,0.992031872,NA,NA,NA,NA,NA,1820,16,312,6,2,8
197,7704,Fs,0.481968215,0.069460201,0.928518482,NA,NA,NA,NA,NA,1798,34,310,6,4,8
198,7721,Fs,0.668661079,0.891044644,0,NA,NA,NA,NA,NA,1666,31,321,6,4,8
199,7724,Zi,0,0,0,0,1.16018467,11.61021143,40.94623485,19.6803877,2220,28,340,6,3,1
200,7736,Fs,8.348608697,0.240423443,0,NA,NA,NA,NA,NA,1752,3,203,6,0,6
201,7738,Ftb,0.364336651,2.550510633,2.069882161,NA,NA,NA,NA,NA,1252,21,2,5,3,1
202,7765,Ftb,4.76269486,0.370272468,0,NA,NA,NA,NA,NA,1115,10,317,4,1,8
203,8036,Bu,7.599688245,0.6076731,1.322296538,NA,NA,NA,NA,NA,989,23,106,4,3,3
204,8037,Bu,1.534931522,0,0.30150697,NA,NA,NA,NA,NA,830,25,158,3,3,5
205,8289,Fs,1.51390948,1.434069752,0,NA,NA,NA,NA,NA,1783,27,127,6,3,4
206,8327,MH,4.849630401,0.114284432,0.042408688,0.226258911,2.749178304,13.2656704,47.0883583,31.79171087,661,26,283,3,3,7
207,8333,Bu,1.102958423,0.117042093,3.63E-05,NA,NA,NA,NA,NA,783,24,288,3,3,7
208,8607,MH,8.015445365,0.232354902,0.507165514,NA,NA,NA,NA,NA,344,17,53,2,2,2
209,8621,MH,0.206729466,0.009009888,0.049864779,NA,NA,NA,NA,NA,553,35,274,2,4,7
210,8622,Bu,1.891942082,0.019884741,0.609267241,NA,NA,NA,NA,NA,660,29,2,3,3,1
211,8866,Fs,1.423342151,1.848032418,0,NA,NA,NA,NA,NA,1910,15,353,6,2,1
212,8897,MH,4.98938608,0.552923416,0,NA,NA,NA,NA,NA,559,34,71,2,4,3
213,8921,Ki,0.432812268,0.037622862,0.350601429,NA,NA,NA,NA,NA,1407,36,124,5,4,4
214,9173,FT,0,0.165153551,0,NA,NA,NA,NA,NA,1664,15,236,6,2,6
215,9205,Fi,0,0.21849678,0,NA,NA,NA,NA,NA,1293,12,75,5,2,3
216,9470,Ftb,0,3.027565153,0.037291435,0.077136948,0.740205542,2.303368806,47.12966761,70.48711593,1457,28,246,5,3,6
217,9492,MH,0.666512057,0.117485366,0.409043599,0.848171039,4.711314268,28.41467598,35.27263074,24.58226213,473,28,267,2,3,7
218,9496,Ftb,0,0.655433749,0.11688271,0,3.720019296,19.16955527,29.64434075,33.92955246,919,31,9,4,4,1
219,9497,Bu,0,0.786852949,0.198110271,NA,NA,NA,NA,NA,884,31,39,3,4,2
220,9768,Ftb,0,0.346318538,0.022516958,NA,NA,NA,NA,NA,1283,15,28,5,2,2
221,9806,FT,0,6.502711818,0.668068901,NA,NA,NA,NA,NA,1566,23,14,6,3,1
222,10086,Ftb,0,1.142255498,0.839407867,0.035978054,12.73861088,36.84421144,23.01467197,52.83791391,1270,37,64,5,4,2
223,10401,MH,0,0,0,NA,NA,NA,NA,NA,449,32,288,2,4,7
224,10414,Fi,0.050275135,0.157497426,0.059602249,NA,NA,NA,NA,NA,1424,32,215,5,4,6
225,10703,Ftb,0,0.300681873,0.221589531,NA,NA,NA,NA,NA,1353,4,231,5,0,6
226,10705,FT,1.97089988,0.762252267,0.507423976,0.521162179,13.88308533,64.11035215,20.6061714,36.26308419,1268,9,359,5,1,1
227,10979,Bu,0.902629019,0.987513383,0.516547522,0.515425315,6.977722945,4.190439867,71.47693913,51.23664834,822,30,114,3,3,4
228,10998,FT,0.122863243,0.658370058,0.765201127,NA,NA,NA,NA,NA,1330,20,113,5,2,4
229,11003,FT,0.568288984,0.306828914,0.021401099,0.050051058,6.812062139,20.25129974,22.71135238,24.21806082,1317,18,273,5,2,7
230,11274,Ei,0.417490588,0.943255516,0.392434142,NA,NA,NA,NA,NA,571,9,296,2,1,8
231,11291,Ftb,1.190246722,0.746550885,0.458548523,NA,NA,NA,NA,NA,1225,35,235,5,4,6
232,11292,FT,0.375137205,0.050198875,0.986893394,NA,NA,NA,NA,NA,1470,32,228,5,4,6
233,11558,MH,0.327739558,0.05127893,4.695660535,3.391258952,7.846787727,52.87991527,8.075284551,10.25561138,1255,44,91,5,5,3
