"","idpunto","lat","lon","WGRU_CODE","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","elevation","slope","aspect","ele_cat","slope_cat","asp_cat"
"186",6903,46.54396647,11.02576269,"FT",0,0.470347251,0.056274178,NA,NA,NA,NA,NA,1410,30,328,5,3,8
"187",6913,46.54281445,11.15860814,"Ftb",0.450106383,1.374898438,0.141853057,1.667631934,4.224036779,3.113000221,30.1638841,36.82299052,949,19,13,4,2,1
"188",6974,46.54678526,11.95069454,"Fs",0.958134142,2.176941894,0.929099965,NA,NA,NA,NA,NA,1816,20,343,7,2,1
"189",7152,46.53716733,10.76357191,"Fs",0,0.521769451,0.023653443,NA,NA,NA,NA,NA,1517,16,348,6,2,1
"190",7180,46.53617282,11.13486983,"Ftb",0.331576133,1.528820394,0.421845635,NA,NA,NA,NA,NA,1198,23,3,4,3,1
"191",7192,46.53614805,11.29137494,"Ki",0.142880968,0.049630811,0.848317106,NA,NA,NA,NA,NA,1031,15,234,4,2,6
"192",7209,46.53828755,11.50892357,"Ei",0.948299602,0.261722999,0.792165944,NA,NA,NA,NA,NA,757,32,305,3,4,8
"193",7427,46.53034889,10.74503727,"Fs",5.60897142,0.462531211,0.707905128,NA,NA,NA,NA,NA,1587,12,337,6,2,8
"194",7470,46.53029718,11.30943353,"Ftb",0.437878961,0.638554769,1.030774045,0.929803216,9.429066853,13.66558093,20.72361053,18.83755508,1120,24,25,4,3,2
"195",7473,46.52372443,11.35028255,"MH",3.010270871,0,0.073564273,0.368531677,7.371827107,3.884619765,42.44164899,30.49505534,693,27,155,3,3,4
"196",7514,46.5276744,11.8847424,"Fs",0.176256205,1.005422386,0.992031872,NA,NA,NA,NA,NA,1820,16,312,7,2,8
"197",7704,46.52064347,10.73860919,"Fs",0.481968215,0.069460201,0.928518482,NA,NA,NA,NA,NA,1798,34,310,6,4,8
"198",7721,46.51947958,10.96485296,"Fs",0.668661079,0.891044644,0,NA,NA,NA,NA,NA,1666,31,321,6,4,8
"199",7724,46.51844379,10.9944529,"Zi",0,0,0,0,1.16018467,11.61021143,40.94623485,19.6803877,2220,28,340,8,3,1
"200",7736,46.51872389,11.15290168,"Fs",8.348608697,0.240423443,0,NA,NA,NA,NA,NA,1752,3,203,6,0,6
"201",7738,46.52018617,11.17903455,"Ftb",0.364336651,2.550510633,2.069882161,NA,NA,NA,NA,NA,1252,21,2,5,3,1
"202",7765,46.52307158,11.53349464,"Ftb",4.76269486,0.370272468,0,NA,NA,NA,NA,NA,1115,10,317,4,1,8
