idpunto,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,WGRU_CODE
11003,0.568288984,0.306828914,0.021401099,0.050051058,6.812062139,20.25129974,22.71135238,24.21806082,FT
11274,0.417490588,0.943255516,0.392434142,NA,NA,NA,NA,NA,Ei
11291,1.190246722,0.746550885,0.458548523,NA,NA,NA,NA,NA,Ftb
11292,0.375137205,0.050198875,0.986893394,NA,NA,NA,NA,NA,FT
11558,0.327739558,0.05127893,4.695660535,3.391258952,7.846787727,52.87991527,8.075284551,10.25561138,MH
11849,0.624551273,0.082113261,0,NA,NA,NA,NA,NA,MH
11870,7.689037403,0.289222732,0.341885524,NA,NA,NA,NA,NA,Fs
12138,0.931506567,1.603944202,8.45E-06,NA,NA,NA,NA,NA,MH
12156,0,3.009203393,0.061933848,NA,NA,NA,NA,NA,FT
12157,0,0.856810184,0.032034469,NA,NA,NA,NA,NA,FT
12159,0.341036355,0.099034919,0.233756177,NA,NA,NA,NA,NA,Zi
12431,0,0.297980337,0.237888676,NA,NA,NA,NA,NA,MH
12733,0,0.00937151,0,0.07557608,4.440602386,11.75420636,33.48324793,0,EK
12747,0.129563206,2.503370082,0.78633196,NA,NA,NA,NA,NA,Fs
13343,0,1.650704479,0.735028693,NA,NA,NA,NA,NA,Bu
13969,0,1.831083647,0.070622363,NA,NA,NA,NA,NA,Fs
14577,0,0.158108818,0.035598541,NA,NA,NA,NA,NA,Bu
14900,6.717272993,1.158010597,0,NA,NA,NA,NA,NA,Bu
14903,0,0.992255019,0.316513008,NA,NA,NA,NA,NA,Ftb
15220,0.330278068,0.071561348,0.096940233,NA,NA,NA,NA,NA,Bu
15544,1.278053733,1.383740116,0.620130681,NA,NA,NA,NA,NA,Ftb
15883,0.791902059,0,0,NA,NA,NA,NA,NA,MH
17580,1.909502026,0.193061442,0.50747589,NA,NA,NA,NA,NA,Ftb
