"id","model.climate.tableName","model.site.soilDepth","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC","model.site.pctClay","model.site.pctSilt","model.site.pctSand"
16805,"climate206",1796.06294631958,NA,NA,NA,NA,NA,NA,"8","32","60"
16631,"climate240",1796.0000038147,NA,NA,NA,NA,NA,NA,"8","32","60"
16456,"climate240",1796.0000038147,NA,NA,NA,NA,NA,NA,"8","32","60"
16279,"climate240",1796.0000038147,NA,NA,NA,NA,NA,NA,"8","32","60"
16101,"climate266",2239.00294303894,NA,NA,NA,NA,NA,NA,"12","39","49"
15923,"climate266",2277.01950073242,NA,NA,NA,NA,NA,NA,"6","38","56"
15743,"climate266",2277.01950073242,NA,NA,NA,NA,NA,NA,"6","38","56"
15562,"climate350",1834.01656150818,NA,NA,NA,NA,NA,NA,"8","32","60"
15381,"climate350",2178.20119857788,NA,NA,NA,NA,NA,NA,"2","11","87"
15198,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
15014,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
14830,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
14644,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
14458,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
14271,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
14083,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
13895,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
13709,"climate350",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
13523,"climate280",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
13338,"climate280",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
13154,"climate280",2210.99996566772,NA,NA,NA,NA,NA,NA,"2","11","87"
12971,"climate280",2234.81488227844,NA,NA,NA,NA,NA,NA,"6","38","56"
12789,"climate280",2330.00636100769,NA,NA,NA,NA,NA,NA,"4","25","71"
12608,"climate280",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
12428,"climate280",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
12250,"climate280",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
12073,"climate280",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
11898,"climate317",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
11726,"climate317",2338.00005912781,NA,NA,NA,NA,NA,NA,"4","25","71"
11558,"climate317",987.721502780914,790.920483445545,644.760381891089,525.392869138614,54.5,23506.1640555,39835.976749,"6","38","56"
11391,"climate317",526.625394821167,790.920483445545,644.760381891089,525.392869138614,54.5,23506.1640555,39835.976749,"6","38","56"
11225,"climate317",779.736757278442,NA,NA,NA,NA,NA,NA,"6","38","56"
11060,"climate317",746.431887149811,790.920483445545,644.760381891089,525.392869138614,54.5,23506.1640555,39835.976749,"6","38","56"
10896,"climate189",741.491675376892,NA,NA,NA,NA,NA,NA,"18","41","41"
10733,"climate189",799.059748649597,790.920483445545,644.760381891089,525.392869138614,54.5,23506.1640555,39835.976749,"6","38","56"
10571,"climate189",804.000020027161,790.920483445545,644.760381891089,525.392869138614,54.5,23506.1640555,39835.976749,"6","38","56"
10410,"climate188",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
10250,"climate188",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
10093,"climate188",804.000020027161,0,607.338532,0,57.75,23506.1640555,39835.976749,"12","39","49"
9937,"climate178",551.693737506866,0,607.338532,0,57.75,23506.1640555,39835.976749,"12","39","49"
9784,"climate178",782.348155975342,NA,NA,NA,NA,NA,NA,"6","38","56"
9633,"climate178",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
9484,"climate178",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
9338,"climate178",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
9194,"climate186",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
9050,"climate186",804.000020027161,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
8908,"climate186",747.932016849518,NA,NA,NA,NA,NA,NA,"18","41","41"
8767,"climate186",799.188494682312,NA,NA,NA,NA,NA,186886.5302,"18","41","41"
8626,"climate186",558.294773101807,477.036539361819,726.593989965405,411.255299904364,54.5,23506.1640555,39835.976749,"6","38","56"
