"id","model.climate.tableName","model.site.soilDepth","model.site.pctSand","model.site.pctSilt","model.site.pctClay","model.site.swdC","model.site.otherC","model.site.youngRefractoryC","model.site.availableNitrogen","model.site.youngLabileC","model.site.somC"
12135,"climate342",342.000007629395,48.3800010681152,39.4700012207031,12.1599998474121,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
11960,"climate327",342.000007629395,48.3800010681152,39.4700012207031,12.1599998474121,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
11788,"climate327",342.000007629395,48.3800010681152,39.4700012207031,12.1599998474121,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
11620,"climate327",342.000007629395,48.3800010681152,39.4700012207031,12.1599998474121,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
11453,"climate329",282.590687274933,48.3800010681152,39.4700012207031,12.1599998474121,789.971347,395.758864,163.100917,64.25,20818.1194731035,48222.7925941118
11287,"climate329",262.303441762924,48.3800010681152,39.4700012207031,12.1599998474121,40.1789502,714.37852664,1075.09949659429,57.75,107568.698516717,21391.9488673443
11122,"climate329",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,40.1789502,714.37852664,1075.09949659429,57.75,107568.698516717,21391.9488673443
10958,"climate303",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,40.1789502,714.37852664,1075.09949659429,57.75,107568.698516717,21391.9488673443
10795,"climate303",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443
10633,"climate287",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443
10472,"climate287",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443
10312,"climate287",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443
10155,"climate287",261.000007390976,48.3800010681152,39.4700012207031,12.1599998474121,1543.39095008333,1198.81384768224,764.357939556075,57.75,107568.698516717,21391.9488673443
9999,"climate304",255.37446141243,46.0660247802734,39.5187530517578,14.4233455657959,1589.76105656993,2877.48565736713,620.374755486014,57.75,107568.698516717,21391.9488673443
9846,"climate304",260.517239570618,48.1814231872559,39.4741821289062,12.3542308807373,1589.76105656993,2877.48565736713,620.374755486014,57.75,107568.698516717,21391.9488673443
